size;jacobi;gauss-seidel;optimized_lu;full_lu;sp_linalg_lu;np_linalg_solve
100;0.00100136;0.00800371;0.00099635;0.00099993;0.00040279992390424013;0.00014410004951059818
300;0.00499845;0.0270009;0.00400043;0.01399946;0.0044633999932557344;0.0009754999773576856
500;0.01099944;0.04699969;0.00499725;0.10800123;0.012135899974964559;0.0029256000416353345
800;0.03800106;0.09599996;0.01299787;0.66999793;0.01696139993146062;0.009639899944886565
1000;0.05900359;0.14900112;0.01400065;1.41404796;0.0309851000783965;0.0191052999580279
1300;0.16002893;0.29001331;0.02100062;2.62955642;0.09094639995601028;0.04036770004313439
1500;0.46901464;0.37601113;0.02501845;4.04118299;0.05480440007522702;0.05705270008184016
1800;0.41303277;0.40003943;0.03000236;7.79312372;0.20468239998444915;0.09604960004799068
2000;0.56900382;0.47402835;0.03903913;10.71365857;0.1236849999986589;0.13616090000141412
2500;0.98404884;0.71401381;0.04901838;22.04311633;0.2266378999920562;0.24863779998850077
3000;1.51702189;1.03763723;0.06802201;39.38780785;0.33598740003071725;0.4172646999359131
3500;2.17400122;1.30703855;0.08403754;65.96464467;0.4780866000801325;0.8378591999644414
